symbol,ok,rows,message
AAPL,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=AAPL&apikey=%2A%2A%2AREDACTED%2A%2A%2A
MSFT,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=MSFT&apikey=%2A%2A%2AREDACTED%2A%2A%2A
NVDA,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=NVDA&apikey=%2A%2A%2AREDACTED%2A%2A%2A
AMZN,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=AMZN&apikey=%2A%2A%2AREDACTED%2A%2A%2A
META,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=META&apikey=%2A%2A%2AREDACTED%2A%2A%2A
GOOGL,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=GOOGL&apikey=%2A%2A%2AREDACTED%2A%2A%2A
AVGO,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=AVGO&apikey=%2A%2A%2AREDACTED%2A%2A%2A
TSLA,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=TSLA&apikey=%2A%2A%2AREDACTED%2A%2A%2A
COST,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=COST&apikey=%2A%2A%2AREDACTED%2A%2A%2A
AMD,False,0,429 Client Error: Too Many Requests for url: https://financialmodelingprep.com/stable/quote?symbol=AMD&apikey=%2A%2A%2AREDACTED%2A%2A%2A
